152,6/1/2019,2019,2,Q2,6,June,1,7,Saturday
153,6/2/2019,2019,2,Q2,6,June,2,1,Sunday
154,6/3/2019,2019,2,Q2,6,June,3,2,Monday
155,6/4/2019,2019,2,Q2,6,June,4,3,Tuesday
156,6/5/2019,2019,2,Q2,6,June,5,4,Wednesday
157,6/6/2019,2019,2,Q2,6,June,6,5,Thursday
158,6/7/2019,2019,2,Q2,6,June,7,6,Friday
159,6/8/2019,2019,2,Q2,6,June,8,7,Saturday
160,6/9/2019,2019,2,Q2,6,June,9,1,Sunday
161,6/10/2019,2019,2,Q2,6,June,10,2,Monday
162,6/11/2019,2019,2,Q2,6,June,11,3,Tuesday
163,6/12/2019,2019,2,Q2,6,June,12,4,Wednesday
164,6/13/2019,2019,2,Q2,6,June,13,5,Thursday
165,6/14/2019,2019,2,Q2,6,June,14,6,Friday
166,6/15/2019,2019,2,Q2,6,June,15,7,Saturday
167,6/16/2019,2019,2,Q2,6,June,16,1,Sunday
168,6/17/2019,2019,2,Q2,6,June,17,2,Monday
169,6/18/2019,2019,2,Q2,6,June,18,3,Tuesday
170,6/19/2019,2019,2,Q2,6,June,19,4,Wednesday
171,6/20/2019,2019,2,Q2,6,June,20,5,Thursday
172,6/21/2019,2019,2,Q2,6,June,21,6,Friday
173,6/22/2019,2019,2,Q2,6,June,22,7,Saturday
174,6/23/2019,2019,2,Q2,6,June,23,1,Sunday
175,6/24/2019,2019,2,Q2,6,June,24,2,Monday
176,6/25/2019,2019,2,Q2,6,June,25,3,Tuesday
177,6/26/2019,2019,2,Q2,6,June,26,4,Wednesday
178,6/27/2019,2019,2,Q2,6,June,27,5,Thursday
179,6/28/2019,2019,2,Q2,6,June,28,6,Friday
180,6/29/2019,2019,2,Q2,6,June,29,7,Saturday
181,6/30/2019,2019,3,Q3,6,June,30,1,Sunday
182,7/1/2019,2019,3,Q3,7,July,1,2,Monday
183,7/2/2019,2019,3,Q3,7,July,2,3,Tuesday
184,7/3/2019,2019,3,Q3,7,July,3,4,Wednesday
185,7/4/2019,2019,3,Q3,7,July,4,5,Thursday
186,7/5/2019,2019,3,Q3,7,July,5,6,Friday
187,7/6/2019,2019,3,Q3,7,July,6,7,Saturday
188,7/7/2019,2019,3,Q3,7,July,7,1,Sunday
189,7/8/2019,2019,3,Q3,7,July,8,2,Monday
190,7/9/2019,2019,3,Q3,7,July,9,3,Tuesday
191,7/10/2019,2019,3,Q3,7,July,10,4,Wednesday
192,7/11/2019,2019,3,Q3,7,July,11,5,Thursday
193,7/12/2019,2019,3,Q3,7,July,12,6,Friday
194,7/13/2019,2019,3,Q3,7,July,13,7,Saturday
195,7/14/2019,2019,3,Q3,7,July,14,1,Sunday
196,7/15/2019,2019,3,Q3,7,July,15,2,Monday
197,7/16/2019,2019,3,Q3,7,July,16,3,Tuesday
198,7/17/2019,2019,3,Q3,7,July,17,4,Wednesday
199,7/18/2019,2019,3,Q3,7,July,18,5,Thursday
200,7/19/2019,2019,3,Q3,7,July,19,6,Friday
201,7/20/2019,2019,3,Q3,7,July,20,7,Saturday
202,7/21/2019,2019,3,Q3,7,July,21,1,Sunday
203,7/22/2019,2019,3,Q3,7,July,22,2,Monday
204,7/23/2019,2019,3,Q3,7,July,23,3,Tuesday
205,7/24/2019,2019,3,Q3,7,July,24,4,Wednesday
206,7/25/2019,2019,3,Q3,7,July,25,5,Thursday
207,7/26/2019,2019,3,Q3,7,July,26,6,Friday
208,7/27/2019,2019,3,Q3,7,July,27,7,Saturday
209,7/28/2019,2019,3,Q3,7,July,28,1,Sunday
210,7/29/2019,2019,3,Q3,7,July,29,2,Monday
211,7/30/2019,2019,3,Q3,7,July,30,3,Tuesday
212,7/31/2019,2019,3,Q3,7,July,31,4,Wednesday
213,8/1/2019,2019,3,Q3,8,August,1,5,Thursday
214,8/2/2019,2019,3,Q3,8,August,2,6,Friday
215,8/3/2019,2019,3,Q3,8,August,3,7,Saturday
216,8/4/2019,2019,3,Q3,8,August,4,1,Sunday
217,8/5/2019,2019,3,Q3,8,August,5,2,Monday
218,8/6/2019,2019,3,Q3,8,August,6,3,Tuesday
219,8/7/2019,2019,3,Q3,8,August,7,4,Wednesday
220,8/8/2019,2019,3,Q3,8,August,8,5,Thursday
221,8/9/2019,2019,3,Q3,8,August,9,6,Friday
222,8/10/2019,2019,3,Q3,8,August,10,7,Saturday
223,8/11/2019,2019,3,Q3,8,August,11,1,Sunday
